"Quais são os três pilares da observabilidade, e qual deles o Prometheus cobre?","Métricas (numéricas, agregadas, baratas: o Prometheus), logs (eventos detalhados: Loki/ELK) e traces (caminho de uma requisição entre serviços: Tempo/Jaeger)."
Quando métricas são melhores que logs?,"Para tendências, agregação e alertas, com custo fixo por série (independe do volume de eventos). Logs servem para detalhes de eventos individuais e dados de alta cardinalidade."
Vantagens do modelo pull?,"• Detecta target fora do ar (up == 0)
• O servidor controla a taxa de coleta
• Fácil depurar (abrir /metrics no navegador) e rodar uma 2ª instância
• O target não precisa saber para onde enviar"
Quando o push é apropriado no ecossistema Prometheus?,"Jobs batch de curta duração (service-level), que terminam antes de serem raspados, via Pushgateway. Não use push para serviços de longa duração."
Monitoramento white-box vs black-box?,White-box: métricas internas expostas pela instrumentação da app. Black-box: sondar de fora como um usuário (ex.: blackbox_exporter → probe_success).
"Método RED (para […]): […], […], […].","Método RED (para serviços): Rate, Errors, Duration."
"Método USE (para […]: CPU, disco, rede): […], […], […].","Método USE (para recursos: CPU, disco, rede): Utilization, Saturation, Errors."
Quais são os Four Golden Signals (Google SRE)?,"Latency, Traffic, Errors, Saturation."
SLI vs SLO vs SLA?,"• SLI: indicador medido (ex.: requisições boas ÷ total)
• SLO: meta interna para o SLI (ex.: 99,9% em 30 dias)
• SLA: contrato com consequência (multa/crédito); normalmente mais frouxo que o SLO"
"Qual é o error budget de um SLO de 99,9% em 30 dias?","1 − 0,999 = 0,1%. Em tempo: 0,001 × 43.200 min = 43,2 min de indisponibilidade."
"Indisponibilidade permitida em 30 dias: 99% → […]; 99,9% → […]; 99,99% → […].","Indisponibilidade permitida em 30 dias: 99% → 7,2 h; 99,9% → 43,2 min; 99,99% → 4,32 min."
O que é burn rate?,"Velocidade de consumo do error budget em relação ao ritmo ""ideal"". Burn rate 1 gasta o budget exatamente no período do SLO; 14,4 mantido por 1 h consome 2% de um budget de 30 dias."
"Por que alertas de SLO usam multi-window, multi-burn-rate?","A janela longa (ex.: 1 h) dá significância (evita alarme por ruído); a curta (ex.: 5 m) faz o alerta parar logo que o problema acaba. Ex.: page se burn rate > 14,4 em 1 h e em 5 m."
Alertar em sintomas ou em causas?,"Em sintomas (o que o usuário sente: erros, latência, indisponibilidade). Causas (CPU alta, disco) vão para dashboards/tickets, ou viram alertas só quando preveem um sintoma."
Por que a média de latência engana?,Esconde a cauda: poucos usuários muito lentos somem na média. Use percentis (p95/p99) via histogram: histogram_quantile.
O que é cardinalidade e por que importa?,"Número de séries únicas = combinações de valores de labels. Labels como user_id, email, IP ou URL com IDs explodem memória e disco."
O que são exemplars?,Amostras com um trace ID anexado a um bucket/counter: permitem pular de um pico no gráfico para um trace concreto. Vêm via OpenMetrics; armazenamento com --enable-feature=exemplar-storage.
O que é um trace e um span?,"Trace: árvore de spans de uma requisição ponta a ponta. Span: uma operação (nome, início, duração, trace_id, span_id, pai). O contexto é propagado entre serviços (W3C traceparent)."
Qual a relação entre OpenTelemetry e Prometheus?,"O OTel é o padrão aberto de instrumentação (API/SDK/Collector) para métricas, logs e traces. O Prometheus pode receber OTLP (--web.enable-otlp-receiver) ou raspar o endpoint Prometheus do SDK/Collector."
Monitoramento vs observabilidade?,Monitoramento responde perguntas conhecidas (dashboards/alertas pré-definidos). Observabilidade é a capacidade de responder perguntas novas a partir dos sinais que o sistema emite.
Por que não usar o Prometheus para faturamento (billing)?,"Os dados são amostrados por scrape, rate/increase extrapolam, e scrapes podem falhar. Não é 100% exato. Para cobrança, use um sistema de eventos/logs."
