#separator:Comma
#html:true
#notetype:Basic
#guid column:1
#deck column:2
#tags column:6
guid,deck,front,back,source,tags
338291c833c7e6ec,PCA::01 Observability Concepts::Curadas,"Quais são os três pilares da observabilidade, e qual deles o Prometheus cobre?","<b>Métricas</b> (numéricas, agregadas, baratas: o Prometheus), <b>logs</b> (eventos detalhados: Loki/ELK) e <b>traces</b> (caminho de uma requisição entre serviços: Tempo/Jaeger).",,domain::observability origin::curated curated
d96bb5b81450d509,PCA::01 Observability Concepts::Curadas,Quando métricas são melhores que logs?,"Para <b>tendências, agregação e alertas</b>, com custo fixo por série (independe do volume de eventos). Logs servem para detalhes de <b>eventos individuais</b> e dados de alta cardinalidade.",,domain::observability origin::curated curated
7486c216addf4f52,PCA::01 Observability Concepts::Curadas,Vantagens do modelo <b>pull</b>?,<ul><li>Detecta target fora do ar (<code>up == 0</code>)</li><li>O servidor controla a taxa de coleta</li><li>Fácil depurar (abrir <code>/metrics</code> no navegador) e rodar uma 2ª instância</li><li>O target não precisa saber para onde enviar</li></ul>,,domain::observability origin::curated curated
5a62926e7605766a,PCA::01 Observability Concepts::Curadas,Quando o <b>push</b> é apropriado no ecossistema Prometheus?,"<b>Jobs batch de curta duração</b> (service-level), que terminam antes de serem raspados, via Pushgateway. Não use push para serviços de longa duração.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/exporters-pushgateway/,domain::observability origin::curated curated
b9e1705d048387eb,PCA::01 Observability Concepts::Curadas,Monitoramento <b>white-box</b> vs <b>black-box</b>?,<b>White-box</b>: métricas internas expostas pela instrumentação da app. <b>Black-box</b>: sondar de fora como um usuário (ex.: blackbox_exporter → <code>probe_success</code>).,https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/exporters-pushgateway/,domain::observability origin::curated curated
a482e796fe32e92c,PCA::01 Observability Concepts::Curadas,"Método <b>RED</b> (para <span class=""cloze"">[…]</span>): <span class=""cloze"">[…]</span>, <span class=""cloze"">[…]</span>, <span class=""cloze"">[…]</span>.","Método <b>RED</b> (para <span class=""cloze-a"">serviços</span>): <span class=""cloze-a"">Rate</span>, <span class=""cloze-a"">Errors</span>, <span class=""cloze-a"">Duration</span>.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
1a2a60a6fdf067b4,PCA::01 Observability Concepts::Curadas,"Método <b>USE</b> (para <span class=""cloze"">[…]</span>: CPU, disco, rede): <span class=""cloze"">[…]</span>, <span class=""cloze"">[…]</span>, <span class=""cloze"">[…]</span>.","Método <b>USE</b> (para <span class=""cloze-a"">recursos</span>: CPU, disco, rede): <span class=""cloze-a"">Utilization</span>, <span class=""cloze-a"">Saturation</span>, <span class=""cloze-a"">Errors</span>.",,domain::observability origin::curated curated
fc21397e18b7f1da,PCA::01 Observability Concepts::Curadas,Quais são os <b>Four Golden Signals</b> (Google SRE)?,"<b>Latency</b>, <b>Traffic</b>, <b>Errors</b>, <b>Saturation</b>.",,domain::observability origin::curated curated
71b0982841456b58,PCA::01 Observability Concepts::Curadas,SLI vs SLO vs SLA?,"<ul><li><b>SLI</b>: indicador medido (ex.: requisições boas ÷ total)</li><li><b>SLO</b>: meta interna para o SLI (ex.: 99,9% em 30 dias)</li><li><b>SLA</b>: contrato com consequência (multa/crédito); normalmente mais frouxo que o SLO</li></ul>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
a4cdefe956dd1f52,PCA::01 Observability Concepts::Curadas,"Qual é o <b>error budget</b> de um SLO de 99,9% em 30 dias?","1 − 0,999 = <b>0,1%</b>. Em tempo: 0,001 × 43.200 min = <b>43,2 min</b> de indisponibilidade.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
74daff62cd5f1af1,PCA::01 Observability Concepts::Curadas,"Indisponibilidade permitida em 30 dias: 99% → <span class=""cloze"">[…]</span>; 99,9% → <span class=""cloze"">[…]</span>; 99,99% → <span class=""cloze"">[…]</span>.","Indisponibilidade permitida em 30 dias: 99% → <span class=""cloze-a"">7,2 h</span>; 99,9% → <span class=""cloze-a"">43,2 min</span>; 99,99% → <span class=""cloze-a"">4,32 min</span>.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
0f26aa31d80aebd6,PCA::01 Observability Concepts::Curadas,O que é <b>burn rate</b>?,"Velocidade de consumo do error budget em relação ao ritmo ""ideal"". Burn rate <b>1</b> gasta o budget exatamente no período do SLO; <b>14,4</b> mantido por 1 h consome <b>2%</b> de um budget de 30 dias.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
dd7fdd51358a3c95,PCA::01 Observability Concepts::Curadas,"Por que alertas de SLO usam <b>multi-window, multi-burn-rate</b>?","A janela <b>longa</b> (ex.: 1 h) dá significância (evita alarme por ruído); a <b>curta</b> (ex.: 5 m) faz o alerta parar logo que o problema acaba. Ex.: page se burn rate &gt; 14,4 em 1 h <b>e</b> em 5 m.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
4935f360f0cd7b24,PCA::01 Observability Concepts::Curadas,Alertar em <b>sintomas</b> ou em <b>causas</b>?,"Em <b>sintomas</b> (o que o usuário sente: erros, latência, indisponibilidade). Causas (CPU alta, disco) vão para dashboards/tickets, ou viram alertas só quando preveem um sintoma.",,domain::observability origin::curated curated
dcb9bf2d48d2f165,PCA::01 Observability Concepts::Curadas,Por que a <b>média</b> de latência engana?,Esconde a <b>cauda</b>: poucos usuários muito lentos somem na média. Use percentis (p95/p99) via histogram: <code>histogram_quantile</code>.,https://github.com/apolzek/tryharding-certifications/tree/main/PCA/promql-functions-lab/functions/histogram_quantile/,domain::observability origin::curated curated
8b46f3c7cfb66020,PCA::01 Observability Concepts::Curadas,O que é <b>cardinalidade</b> e por que importa?,"Número de séries únicas = combinações de valores de labels. Labels como <code>user_id</code>, email, IP ou URL com IDs <b>explodem</b> memória e disco.",,domain::observability origin::curated curated
47269dc806db5bd4,PCA::01 Observability Concepts::Curadas,O que são <b>exemplars</b>?,Amostras com um <b>trace ID</b> anexado a um bucket/counter: permitem pular de um pico no gráfico para um trace concreto. Vêm via OpenMetrics; armazenamento com <code>--enable-feature=exemplar-storage</code>.,,domain::observability origin::curated curated
ef6071b86a5ebd89,PCA::01 Observability Concepts::Curadas,O que é um <b>trace</b> e um <b>span</b>?,"<b>Trace</b>: árvore de spans de uma requisição ponta a ponta. <b>Span</b>: uma operação (nome, início, duração, <code>trace_id</code>, <code>span_id</code>, pai). O contexto é propagado entre serviços (W3C <code>traceparent</code>).",,domain::observability origin::curated curated
96c5025ff824f388,PCA::01 Observability Concepts::Curadas,Qual a relação entre OpenTelemetry e Prometheus?,"O OTel é o padrão aberto de instrumentação (API/SDK/Collector) para métricas, logs e traces. O Prometheus pode <b>receber OTLP</b> (<code>--web.enable-otlp-receiver</code>) ou raspar o endpoint Prometheus do SDK/Collector.",,domain::observability origin::curated curated
140a448d637798e3,PCA::01 Observability Concepts::Curadas,Monitoramento vs observabilidade?,<b>Monitoramento</b> responde perguntas <b>conhecidas</b> (dashboards/alertas pré-definidos). <b>Observabilidade</b> é a capacidade de responder perguntas <b>novas</b> a partir dos sinais que o sistema emite.,,domain::observability origin::curated curated
392337583aca1703,PCA::01 Observability Concepts::Curadas,Por que não usar o Prometheus para <b>faturamento</b> (billing)?,"Os dados são <b>amostrados</b> por scrape, <code>rate</code>/<code>increase</code> <b>extrapolam</b>, e scrapes podem falhar. Não é 100% exato. Para cobrança, use um sistema de eventos/logs.",,domain::observability origin::curated curated
0a8f22cc1418b17d,PCA::01 Observability Concepts::Curadas,SLI de <b>disponibilidade</b> em PromQL?,"<code>sum(rate(http_requests_total{code!~""5..""}[5m])) / sum(rate(http_requests_total[5m]))</code>: fração de requisições boas.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
af23520720ff9af9,PCA::01 Observability Concepts::Curadas,SLI de <b>latência</b> em PromQL (ex.: % de requisições &lt; 300 ms)?,"<code>sum(rate(http_request_duration_seconds_bucket{le=""0.3""}[5m])) / sum(rate(http_request_duration_seconds_count[5m]))</code>. Para isso ser exato, é preciso ter um bucket <b>exatamente</b> no limiar.",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
21dbca5b00be3178,PCA::01 Observability Concepts::Curadas,O error budget acabou. O que a política de SLO costuma prever?,<b>Congelar</b> releases de features e priorizar confiabilidade até o budget se recuperar.,https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::curated curated
a1e94ceeb7784604,PCA::01 Observability Concepts::Curadas,"Métricas, logs e traces: qual responde ""<b>qual</b> serviço na cadeia está lento para <b>esta</b> requisição""?",<b>Traces.</b> As métricas mostram que a latência subiu; os traces mostram onde o tempo foi gasto em uma requisição específica.,,domain::observability origin::curated curated
7101a3505028d34f,PCA::01 Observability Concepts::Labs,lab slo-end-to-end · SLI = ?,"bons/válidos (ou ruins/válidos) · SLO = meta numa janela · SLA = contrato · budget = <code>1 - SLO</code>.<div class=""extra"">Cola completa: SLI = bons/válidos (ou ruins/válidos) · SLO = meta numa janela · SLA = contrato · budget = <code>1 - SLO</code>.</div>",https://github.com/apolzek/tryharding-certifications/tree/main/PCA/labs/slo-end-to-end/,domain::observability origin::lab lab::slo-end-to-end kind::cola
